01/1996,19954.67582
02/1996,20612.70511
03/1996,22448.23284
04/1996,20808.23317
05/1996,21340.58172
06/1996,20332.22527
07/1996,21445.2982
08/1996,18825.5803
09/1996,21706.69883
10/1996,24536.55654
11/1996,24294.67637
12/1996,22225.01773
01/1997,23636.98406
02/1997,22274.64375
03/1997,22839.09019
04/1997,24282.33352
05/1997,22942.46498
06/1997,23280.35224
07/1997,24598.97665
08/1997,19695.27496
09/1997,23590.03896
10/1997,25672.08465
11/1997,23832.35064
12/1997,24796.62538
01/1998,21574.51729
02/1998,21923.37584
03/1998,25094.40784
04/1998,22835.24674
05/1998,21767.99558
06/1998,23844.53577
07/1998,22859.37186
08/1998,19335.26058
09/1998,23388.19111
10/1998,23854.59608
11/1998,23082.29018
12/1998,22336.79801
01/1999,19412.77824
02/1999,20165.0701
03/1999,24128.49629
04/1999,20954.83819
05/1999,21090.35466
06/1999,22382.81
07/1999,21733.08991
08/1999,21450.58017
09/1999,24646.27926
10/1999,24759.68822
11/1999,25216.35589
12/1999,23131.09152
01/2000,21486.74603
02/2000,22703.53341
03/2000,26103.33114
04/2000,21746.82287
05/2000,22905.97379
06/2000,24484.89072
07/2000,21425.28767
08/2000,21977.65992
09/2000,22498.75335
10/2000,24146.88423
11/2000,24567.4903
12/2000,22137.80918
01/2001,23979.86043
02/2001,23292.78585
03/2001,24747.95582
04/2001,21443.94574
05/2001,22681.23924
06/2001,22678.63972
07/2001,21437.32873
08/2001,20450.97707
09/2001,21625.7986
10/2001,24514.20308
11/2001,22500.7541
12/2001,19104.83645
01/2002,21409.94022
02/2002,21345.05429
03/2002,22292.29829
04/2002,23035.34407
05/2002,25403.68546
06/2002,22410.59199
07/2002,25560.22576
08/2002,20324.08157
09/2002,23828.24111
10/2002,24907.17673
11/2002,23082.13146
12/2002,22479.3117
01/2003,24808.96066
02/2003,22670.1899
03/2003,24594.47373
04/2003,26925.88231
05/2003,24649.75632
06/2003,22601.44032
07/2003,26496.19155
08/2003,22414.23777
09/2003,24909.63847
10/2003,28397.11915
11/2003,25337.56682
12/2003,26880.56737
01/2004,24443.08229
02/2004,26728.906
03/2004,29829.77877
04/2004,27323.33746
05/2004,26831.16071
06/2004,29147.09483
07/2004,29491.54364
08/2004,25917.67053
09/2004,30487.93802
10/2004,30226.56595
11/2004,32329.58868
12/2004,32766.23307
01/2005,27597.94919
02/2005,29981.87886
03/2005,34080.62437
04/2005,33945.87879
05/2005,32813.79057
06/2005,35585.26254
07/2005,30720.88851
08/2005,30439.34032
09/2005,35532.34186
10/2005,34608.85614
11/2005,34614.16404
12/2005,33534.98512
01/2006,32649.25381
02/2006,36436.55403
03/2006,45351.23125
04/2006,40256.11396
05/2006,45816.74559
06/2006,43499.11919
07/2006,34021.41064
08/2006,33036.9739
09/2006,35303.97692
10/2006,36697.22246
11/2006,37045.0079
12/2006,33724.4327
01/2007,33142.10744
02/2007,33259.44206
03/2007,37961.96183
04/2007,35817.36664
05/2007,37197.91973
06/2007,38148.46293
07/2007,38011.24319
08/2007,36615.44204
09/2007,37011.88959
10/2007,41044.6303
11/2007,42522.44429
12/2007,36096.87739
01/2008,37163.38492
02/2008,39987.68604
03/2008,40981.05827
04/2008,43923.34484
05/2008,42954.40226
06/2008,43995.54024
07/2008,45900.23754
08/2008,37587.43846
09/2008,42411.17474
10/2008,39132.10869
11/2008,32932.40524
12/2008,29192.44531
01/2009,25001.72105
02/2009,26249.38261
03/2009,27545.33948
04/2009,27787.68915
05/2009,27008.84044
06/2009,30719.47633
07/2009,32026.99869
08/2009,27368.78819
09/2009,32680.51832
10/2009,34564.06452
11/2009,34057.72735
12/2009,33544.97516
01/2010,29029.28674
