01/1992,3991
02/1992,4970
03/1992,6000
04/1992,6349
05/1992,6601
06/1992,7658
07/1992,7159
08/1992,7650
09/1992,7064
10/1992,7654
11/1992,8526
12/1992,11318
01/1993,3357
02/1993,5823
03/1993,6907
04/1993,6895
05/1993,7213
06/1993,6950
07/1993,7625
08/1993,7636
09/1993,8832
10/1993,8046
11/1993,8944
12/1993,13515
01/1994,4881
02/1994,5733
03/1994,8488
04/1994,8935
05/1994,9450
06/1994,10900
07/1994,10346
08/1994,10210
09/1994,10456
10/1994,10430
11/1994,12669
12/1994,18508
01/1995,9179
02/1995,8885
03/1995,12880
04/1995,11991
05/1995,12817
06/1995,14034
07/1995,12268
08/1995,12528
09/1995,12419
10/1995,12343
11/1995,12179
12/1995,17256
01/1996,9169
02/1996,8666
03/1996,10407
04/1996,11387
05/1996,12155
06/1996,12245
07/1996,12389
08/1996,14111
09/1996,13394
10/1996,15199
11/1996,13592
12/1996,18333
01/1997,11649
02/1997,9809
03/1997,14076
04/1997,14775
05/1997,15164
06/1997,15359
07/1997,15600
08/1997,16023
09/1997,16592
10/1997,17810
11/1997,16746
12/1997,19188
01/1998,12778
02/1998,12250
03/1998,15428
04/1998,15968
05/1998,14899
06/1998,15564
07/1998,16134
08/1998,15564
09/1998,15451
10/1998,14728
11/1998,15122
12/1998,19825
01/1999,11368
02/1999,10986
03/1999,14813
04/1999,14782
05/1999,15516
06/1999,15309
07/1999,17314
08/1999,18316
09/1999,18573
10/1999,18227
11/1999,19471
12/1999,20255
01/2000,16780
02/2000,14779
03/2000,20135
04/2000,20511
05/2000,20112
06/2000,22205
07/2000,21478
08/2000,23324
09/2000,22977
10/2000,22771
11/2000,22146
12/2000,21984
01/2001,16801
02/2001,18982
03/2001,23025
04/2001,22797
05/2001,20821
06/2001,22078
07/2001,22810
08/2001,23532
09/2001,23981
10/2001,22780
11/2001,23996
12/2001,24496
01/2002,21693
02/2002,19136
03/2002,23833
04/2002,26728
05/2002,24640
06/2002,25997
07/2002,29189
08/2002,29413
09/2002,31935
10/2002,29936
11/2002,31205
12/2002,31890
01/2003,29754
02/2003,24450
03/2003,32083
04/2003,35589
05/2003,33786
06/2003,34463
07/2003,38088
08/2003,37395
09/2003,41921
10/2003,40893
11/2003,41749
12/2003,48058
01/2004,35710
02/2004,34048
03/2004,45845
04/2004,47109
05/2004,44844
06/2004,50518
07/2004,50953
08/2004,51345
09/2004,55754
10/2004,52510
11/2004,60900
12/2004,63790
01/2005,50727
02/2005,44276
03/2005,60845
04/2005,62084
05/2005,58422
06/2005,65930
07/2005,65532
08/2005,68372
09/2005,70148
10/2005,68025
11/2005,72195
12/2005,75397
01/2006,65126
02/2006,54106
03/2006,78019
04/2006,76828
05/2006,73072
06/2006,81281
07/2006,80297
08/2006,90726
09/2006,91576
10/2006,88097
11/2006,95807
12/2006,94000
01/2007,86594
02/2007,82149
03/2007,83576
04/2007,97494
05/2007,94074
06/2007,103394
07/2007,107830
08/2007,111424
09/2007,112351
10/2007,107745
11/2007,117592
12/2007,114412
01/2008,109756
02/2008,87361
03/2008,108998
04/2008,119005
05/2008,120699
06/2008,121320
07/2008,136837
08/2008,135387
09/2008,136759
10/2008,128532
11/2008,114985
12/2008,111055
01/2009,90485
02/2009,64866
03/2009,90219
04/2009,91923
05/2009,88699
06/2009,95458
07/2009,105391
08/2009,103663
09/2009,115865
10/2009,110642
11/2009,113659
12/2009,130740
01/2010,109490
02/2010,94463
03/2010,112059
04/2010,119851
05/2010,131661
06/2010,137339
07/2010,145434
08/2010,139236
09/2010,144923
10/2010,135917
11/2010,153279
12/2010,154101
01/2011,150697
02/2011,96681
03/2011,152134
04/2011,155592
05/2011,157051
06/2011,161895
07/2011,175151
08/2011,173239
09/2011,169580
10/2011,157352
11/2011,174386
12/2011,174623
01/2012,149861
02/2012,114409
03/2012,165577
04/2012,163129
05/2012,181034
06/2012,179831
07/2012,176918
08/2012,177870
09/2012,186116
10/2012,175516
11/2012,179341
12/2012,199112
01/2013,187287.6923
02/2013,139304.1509
03/2013,182101.7915
04/2013,186930.9052
05/2013,182679.5186
06/2013,174235.0306
07/2013,185915.0082
08/2013,190492.5447
09/2013,185313.2923
10/2013,185293.7583
11/2013,202082.9668
12/2013,207367.3394
01/2014,207036.9457
02/2014,114052.4771
03/2014,170001.6249
04/2014,188449.5812
05/2014,195596.3913
06/2014,186756.4793
07/2014,212744.1235
08/2014,208329.554
09/2014,213561.6573
10/2014,206771.1861
11/2014,211563.05
12/2014,227429.6258
01/2015,199876.2515
02/2015,168946.6837
03/2015,144234.9305
04/2015,175902.3409
05/2015,188800.1181
06/2015,189544.6746
07/2015,193161.1325
08/2015,196161.4053
09/2015,204922.588
10/2015,192189.023
11/2015,196592.9662
12/2015,223136.1099
01/2016,169398.9179
02/2016,121707.1586
03/2016,155098.1782
04/2016,166688.6317
05/2016,175710.0649
06/2016,176604.576
07/2016,180659.2154
08/2016,188830.6884
09/2016,183439.9901
10/2016,176836.4144
11/2016,193560.7266
12/2016,209096.6307
01/2017,180273.3153
02/2017,118847.6374
03/2017,179247.8675
04/2017,177763.3925
05/2017,189088.3646
06/2017,194754.559
07/2017,192119.1278
08/2017,198042.7022
09/2017,197943.5164
10/2017,187903.0595
11/2017,215838.5909
12/2017,231522.7911
01/2018,199469.1299
02/2018,170548.5044
03/2018,173900.2888
04/2018,198936.287
05/2018,211591.8978
06/2018,215596.3641
07/2018,214402.5413
08/2018,216949.1163
09/2018,225397.6957
10/2018,214759.3834
11/2018,224294.2039
12/2018,220850.2968
01/2019,218008.1335
02/2019,135330.17
03/2019,198234.4356
04/2019,193606.3157
05/2019,213917.7581
06/2019,212465.7099
07/2019,221772.3975
08/2019,214873.2868
09/2019,218214.8743
10/2019,212978.5995
11/2019,221442.325
12/2019,238638.0832
01/2020,211587.5676
02/2020,80379.28379
03/2020,184571.9986
04/2020,199483.1919
05/2020,206428.3267
06/2020,212846.6932
07/2020,236839.1186
08/2020,234372.8766
09/2020,238612.8788
10/2020,236229.9439
11/2020,266912.1581
12/2020,281687.5699
01/2021,263382.2063
02/2021,204385.0389
03/2021,240543.0515
04/2021,263091.2784
05/2021,263229.2616
06/2021,280304.2469
07/2021,281278.3746
08/2021,293171.3551
09/2021,304698.742
10/2021,299119.9818
11/2021,324277.2878
12/2021,339662.2662
01/2022,323277.0323
02/2022,214796.0006
03/2022,272869.4825
04/2022,268965.2965
05/2022,303898.5643
06/2022,323406.6424
07/2022,327463.1921
08/2022,310386.4968
09/2022,318242.6111
10/2022,293613.8773
11/2022,290615.3124
12/2022,296899.9829
01/2023,284418.9841
02/2023,208681.6341
03/2023,302495.8939
04/2023,288155.082
05/2023,280954.3351
06/2023,283450.8493
07/2023,280831.4382
08/2023,283881.5969
09/2023,296515.6002
10/2023,274272.9481
11/2023,292747.7725
12/2023,303618.3455
