01/2000,23937.52682
02/2000,25373.68684
03/2000,28440.1
04/2000,23513.83648
05/2000,26263.8528
06/2000,26703.3471
07/2000,24438.32815
08/2000,19855.58391
09/2000,24692.93042
10/2000,26311.55995
11/2000,26238.39117
12/2000,25048.19716
01/2001,25461.46562
02/2001,26121.02839
03/2001,28896.65629
04/2001,23972.54998
05/2001,24718.47201
06/2001,25506.40606
07/2001,24373.55791
08/2001,20971.07101
09/2001,24510.28017
10/2001,28021.51489
11/2001,25901.93962
12/2001,21654.37751
01/2002,23252.88953
02/2002,23522.83112
03/2002,25573.92843
04/2002,26250.40804
05/2002,25126.71702
06/2002,27489.78718
07/2002,29704.65639
08/2002,21266.82827
09/2002,27261.66049
10/2002,30478.03446
11/2002,27792.08274
12/2002,27384.14213
01/2003,28340.55819
02/2003,28644.96009
03/2003,31691.35437
04/2003,30466.82367
05/2003,29229.74649
06/2003,32319.469
07/2003,32023.1606
08/2003,22342.34943
09/2003,32229.25334
10/2003,36562.90812
11/2003,32392.20219
12/2003,34859.91072
01/2004,33436.35662
02/2004,33858.76802
03/2004,38992.43222
04/2004,34710.55293
05/2004,32623.20013
06/2004,38434.80231
07/2004,36120.91676
08/2004,26748.27322
09/2004,36889.58707
10/2004,39058.11034
11/2004,39817.60946
12/2004,38872.0374
01/2005,35128.95867
02/2005,37107.87065
03/2005,41826.77542
04/2005,38733.22199
05/2005,37302.51626
06/2005,39608.28276
07/2005,34873.14403
08/2005,29574.39284
09/2005,40216.82807
10/2005,37982.30686
11/2005,38355.51137
12/2005,37313.52002
01/2006,37100.70977
02/2006,37739.95191
03/2006,44763.40455
04/2006,38798.63482
05/2006,42996.7024
06/2006,45870.80288
07/2006,40205.11061
08/2006,33329.05821
09/2006,43140.30205
10/2006,44666.70327
11/2006,45475.30802
12/2006,41410.87977
01/2007,41464.56109
02/2007,42761.13622
03/2007,49189.02094
04/2007,44918.56336
05/2007,44858.13129
06/2007,48977.25538
07/2007,47928.44669
08/2007,37749.47043
09/2007,47438.66406
10/2007,54717.34493
11/2007,51760.51152
12/2007,45725.45139
01/2008,52249.05248
02/2008,54469.56538
03/2008,55558.49573
04/2008,59639.91744
05/2008,51577.0636
06/2008,57682.1089
07/2008,59643.08733
08/2008,39759.36328
09/2008,52919.11189
10/2008,48936.94766
11/2008,40640.6159
12/2008,42239.43905
